(4200,4,1162.000000),
(4200,5,1449.000000),
(4400,1,302.000000),
(4400,2,590.000000),
(4400,3,879.000000),
(4400,4,1165.000000),
(4400,5,1452.000000),
(4600,1,303.000000),
(4600,2,593.000000),
(4600,3,880.000000),
(4600,4,1167.000000),
(4600,5,1454.000000),
(4800,1,301.000000),
(4800,2,591.000000),
(4800,3,878.000000),
(4800,4,1163.000000),
(4800,5,1451.000000),
(5000,1,300.000000),
(5000,2,588.000000),
(5000,3,875.000000),
(5000,4,1160.000000),
(5000,5,1445.000000),
(5200,1,303.000000),
(5200,2,587.000000),
(5200,3,873.000000),
(5200,4,1158.000000),
(5200,5,1446.000000),
(5400,1,301.000000),
(5400,2,586.000000),
(5400,3,871.000000),
(5400,4,1156.000000),
(5400,5,1441.000000),
(5600,1,301.000000),
(5600,2,585.000000),
(5600,3,871.000000),
(5600,4,1154.000000),
(5600,5,1441.000000),
(5800,1,301.000000),
(5800,2,585.000000),
(5800,3,873.000000),
(5800,4,1156.000000),
(5800,5,1442.000000),
(6000,1,302.000000),
(6000,2,587.000000),
(6000,3,874.000000),
(6000,4,1159.000000),
(6000,5,1446.000000),
(6200,1,303.000000),
(6200,2,591.000000),
(6200,3,879.000000),
(6200,4,1166.000000),
(6200,5,1455.000000),
(6400,1,305.000000),
(6400,2,594.000000),
(6400,3,884.000000),
(6400,4,1175.000000),
(6400,5,1462.000000),
(6600,1,307.000000),
(6600,2,599.000000),
(6600,3,892.000000),
(6600,4,1183.000000),
(6600,5,1477.000000),
(6800,1,309.000000),
(6800,2,604.000000),
(6800,3,900.000000),
(6800,4,1193.000000),
(6800,5,1489.000000),
(7000,1,311.000000),
(7000,2,608.000000),
(7000,3,903.000000),
(7000,4,1201.000000),
(7000,5,1500.000000),
(7200,1,314.000000),
(7200,2,611.000000),
(7200,3,911.000000),
(7200,4,1208.000000),
(7200,5,1509.000000),
(7400,1,315.000000),
(7400,2,613.000000),
(7400,3,914.000000),
(7400,4,1215.000000),
(7400,5,1515.000000),
(7600,1,315.000000),
(7600,2,615.000000),
(7600,3,917.000000),
(7600,4,1217.000000),
(7600,5,1518.000000),
(7800,1,316.000000),
(7800,2,614.000000),
(7800,3,915.000000),
(7800,4,1215.000000),
(7800,5,1515.000000),
(8000,1,316.000000),
(8000,2,612.000000),
(8000,3,911.000000),
(8000,4,1210.000000),
(8000,5,1509.000000),
(8200,1,313.000000),
(8200,2,607.000000),
(8200,3,906.000000),
(8200,4,1204.000000),
(8200,5,1504.000000),
(8400,1,313.000000),
(8400,2,603.000000),
(8400,3,899.000000),
(8400,4,1193.000000),
(8400,5,1490.000000),
(8600,1,309.000000),
(8600,2,598.000000),
(8600,3,892.000000),
(8600,4,1184.000000),
(8600,5,1476.000000),
(8800,1,304.000000),
(8800,2,592.000000),
(8800,3,883.000000),
(8800,4,1172.000000),
(8800,5,1462.000000),
(9000,1,305.000000),
(9000,2,587.000000),
(9000,3,874.000000),
(9000,4,1161.000000),
(9000,5,1449.000000),
(9200,1,301.000000),
(9200,2,582.000000),
(9200,3,868.000000),
(9200,4,1155.000000),
(9200,5,1438.000000),
(9400,1,299.000000),
(9400,2,580.000000),
(9400,3,865.000000),
(9400,4,1148.000000),
(9400,5,1431.000000),
(9600,1,300.000000),
(9600,2,578.000000),
(9600,3,860.000000),
(9600,4,1145.000000),
(9600,5,1426.000000),
(9800,1,298.000000),
(9800,2,576.000000),
(9800,3,861.000000),
(9800,4,1144.000000),
(9800,5,1423.000000),
(10000,1,297.000000),
(10000,2,573.000000),
(10000,3,852.000000),
(10000,4,1132.000000),
(10000,5,1411.000000),
